grupo,dia,sujeto,peso,volumen,Ln
1,1,1,25.7,93.3,4.535820108
1,5,1,25.8,124.5,4.824305716
1,8,1,24.2,155.6,5.047288612
1,12,1,24.6,188.1,5.236973736
1,15,1,26.7,204.2,5.319099906
1,20,1,25.6,230,5.438079309
1,22,1,25.4,229.1,5.434158589
1,26,1,26.8,264.7,5.578597109
1,29,1,26.5,274.6,5.615315493
1,33,1,26.4,273.8,5.612397913
1,1,2,28.4,107.9,4.681204872
1,5,2,29.6,193.6,5.265794175
1,8,2,28.6,220.3,5.394990254
1,12,2,29,277.2,5.624739267
1,15,2,28.3,366.5,5.903998521
1,20,2,20,435.2,6.075805696
1,22,2,29.2,442.8,6.093118201
1,26,2,30.7,579.5,6.362165663
1,29,2,30.1,691.6,6.539007754
1,33,2,29.1,765.1,6.640006544
1,1,3,25.5,160.1,5.07579862
1,5,3,28.6,209.1,5.342812606
1,8,3,28.7,358.4,5.881649681
1,12,3,29.5,491.8,6.19807213
1,15,3,28.5,552.5,6.314453433
1,20,3,29.2,670.3,6.507725373
1,22,3,29.7,698.3,6.54864881
1,26,3,30.1,973.2,6.880589611
1,29,3,29.9,1026.4,6.933812813
1,33,3,30.6,1078.7,6.983511891
1,1,4,23.6,226.5,5.422744945
1,5,4,23.7,287.6,5.661570626
1,8,4,23.8,364.1,5.897428555
1,12,4,24.2,479.2,6.172118047
1,15,4,24.4,566.8,6.340006508
1,20,4,24.3,585.8,6.372978434
1,22,4,24.8,635.1,6.453782467
1,26,4,25.9,855.4,6.751569196
1,29,4,25.3,878.4,6.778102071
1,33,4,25.9,925.9,6.830766237
1,1,5,25.5,73.9,4.302712828
1,5,5,25.2,123.9,4.819474789
1,8,5,25,222,5.402677382
1,12,5,25.5,226.6,5.423186349
1,15,5,25,271.8,5.605066502
1,20,5,26.4,310.3,5.737539571
1,22,5,26.1,313.3,5.747161198
1,26,5,27.3,337.7,5.822157927
1,29,5,27,404.6,6.002898925
1,33,5,26.1,463.4,6.138590612
1,1,6,24.6,183.8,5.21384821
1,5,6,25.5,222.9,5.40672324
1,8,6,25.1,282.9,5.645093478
1,12,6,25,302.7,5.712742216
1,15,6,25.5,366.1,5.90290652
1,20,6,26.4,418.2,6.035959787
1,22,6,26,435.9,6.077412859
1,26,6,27.2,382.9,5.947773858
1,29,6,26.8,409.1,6.013959625
1,33,6,26.7,415.9,6.030444847
1,1,7,29,64.8,4.171305603
1,5,7,28.6,141.5,4.952299717
1,8,7,28.6,327.7,5.792098556
1,12,7,29.6,421.6,6.044056997
1,15,7,29.1,426.3,6.055143324
1,20,7,28.8,454.7,6.119637861
1,22,7,29.1,469.2,6.151029117
1,26,7,29.4,650.1,6.477126197
1,29,7,30,627.3,6.441424895
1,33,7,29.8,862,6.759255271
2,1,8,28.3,135.8,4.911183215
2,5,8,30.1,149.5,5.007296393
2,8,8,30.4,204.2,5.319099906
2,12,8,30.1,258.5,5.554895694
2,15,8,29.4,311.9,5.742682624
2,20,8,30,317.7,5.761107541
2,22,8,30.2,525.3,6.263969528
2,26,8,31.4,682.3,6.525469444
2,29,8,31.2,734.8,6.599598353
2,33,8,30.4,1145.2,7.043334573
2,1,9,27,127.1,4.844974178
2,5,9,26,116.5,4.757891273
2,8,9,26.1,167.9,5.123368564
2,12,9,26.3,237.7,5.471009374
2,15,9,25.9,302.7,5.712742216
2,20,9,26.2,404,6.001414878
2,22,9,26.3,422.3,6.045715962
2,26,9,27.2,455.5,6.121395717
2,29,9,27.8,804.8,6.690593799
2,33,9,27,909.4,6.812785041
2,1,10,24.9,61.4,4.117409835
2,5,10,25.3,62.2,4.130355
2,8,10,25,116.5,4.757891273
2,12,10,25.5,155.7,5.047931079
2,15,10,24.8,176.4,5.172754144
2,20,10,25.3,303.1,5.714062784
2,22,10,25.2,291.2,5.674010316
2,26,10,26.4,622.4,6.433582973
2,29,10,26,489.8,6.193997145
2,33,10,26,685.4,6.530002609
2,1,11,23.9,84.6,4.437934267
2,5,11,25.5,106.4,4.667205577
2,8,11,25.8,105.3,4.656813419
2,12,11,25.8,141,4.94875989
2,15,11,25.3,154.8,5.042133961
2,20,11,25.9,154.8,5.042133961
2,22,11,26,184.3,5.216564865
2,26,11,27,240.1,5.481055503
2,29,11,25.1,266.5,5.585374244
2,33,11,25.9,306.1,5.723911846
2,1,12,28.7,201.1,5.303802297
2,5,12,27.1,244.5,5.499215309
2,8,12,27.2,380.9,5.942536873
2,12,12,27.4,320.6,5.77019424
2,15,12,27.1,472.4,6.157826084
2,20,12,26.1,530,6.272877007
2,22,12,26.8,484.4,6.182911012
2,26,12,28.3,499.5,6.213607598
2,29,12,27.9,726.7,6.588513738
2,33,12,27.5,820.2,6.709548213
2,1,13,27,136.4,4.915591745
2,5,13,28,167.4,5.120386158
2,8,13,27.8,222.2,5.403577877
2,12,13,28.5,259.6,5.559141985
2,15,13,28.4,282.3,5.642970335
2,20,13,28.3,343.7,5.839769184
2,22,13,29.4,320.6,5.77019424
2,26,13,29.4,444.3,6.09650001
2,29,13,29.9,426.9,6.056549794
2,33,13,29.9,517.6,6.249202743
2,1,14,25.2,162.7,5.091908014
2,5,14,24.3,199.1,5.293807211
2,8,14,23.7,240.3,5.481888143
2,12,14,23.8,278.7,5.630135934
2,15,14,23.5,318.2,5.762680116
2,20,14,22.6,369.8,5.912962319
2,22,14,22.8,349.3,5.855931152
2,26,14,24.1,383.3,5.948817972
2,29,14,24.7,323.8,5.780126041
2,33,14,25,450.6,6.110580028
3,1,15,27.1,99.1,4.596129441
3,5,15,23.4,183.8,5.21384821
3,8,15,20.1,237.1,5.468481993
3,12,15,24,334.1,5.811440349
3,15,15,23.9,399.4,5.989963421
3,20,15,25.1,506.9,6.228313745
3,22,15,25.1,500.9,6.21640648
3,26,15,25.9,696.6,6.546211358
3,29,15,25.4,777.7,6.656340846
3,33,15,25,975.8,6.883257647
3,1,16,25.6,129,4.859812404
3,5,16,25.1,142.2,4.957234517
3,8,16,26,165.3,5.107762005
3,12,16,26.2,173.2,5.154446996
3,15,16,25.9,304.2,5.71768538
3,20,16,27,305.3,5.7212949
3,22,16,26.4,398.7,5.988209254
3,26,16,27.6,620,6.429719478
3,29,16,27.4,621,6.431331082
3,33,16,26.7,807.9,6.694438288
3,1,17,28.5,162.7,5.091908014
3,5,17,29.2,184,5.214935758
3,8,17,29.6,240.3,5.481888143
3,12,17,30.1,153.8,5.035653057
3,15,17,29.7,230,5.438079309
3,20,17,30.1,236.3,5.465102184
3,22,17,19.4,241.9,5.488524418
3,26,17,30,379.5,5.938854597
3,29,17,30,373.5,5.922918005
3,33,17,30.1,352,5.863631176
3,1,18,27.6,117,4.762173935
3,5,18,28.3,202.3,5.309751744
3,8,18,24.3,210.7,5.350435321
3,12,18,28.4,255.9,5.544786743
3,15,18,27.9,290.5,5.671603576
3,20,18,28.4,366.9,5.905089331
3,22,18,18.4,373.2,5.922114469
3,26,18,29,516.9,6.247849432
3,29,18,28.4,516.9,6.247849432
3,33,18,27.8,619,6.428105273
3,1,19,27.1,65.7,4.185098925
3,5,19,27.1,60.1,4.096009842
3,8,19,27.3,124.5,4.824305716
3,12,19,27.2,172.1,5.148075703
3,15,19,26.6,262.8,5.571393287
3,20,19,27.5,404.6,6.002898925
3,22,19,17.6,393.8,5.975843166
3,26,19,29.1,438.9,6.084271597
3,29,19,29.1,573.9,6.352455165
3,33,19,29.3,786.5,6.667592722
3,1,20,28.8,142.9,4.962145085
3,5,20,29.8,213.2,5.362230692
3,8,20,29.9,223,5.407171771
3,12,20,28.5,304.2,5.71768538
3,15,20,29,354.3,5.870144012
3,20,20,30,435.7,6.076953933
3,22,20,29.5,482.4,6.178773645
3,26,20,30.1,479.2,6.172118047
3,29,20,29.7,423.4,6.048317359
3,33,20,29.7,562.2,6.331857658
3,1,21,25.4,190.4,5.249127122
3,5,21,25.2,328.1,5.79331844
3,8,21,25.7,308.4,5.731397642
3,12,21,25.6,337.9,5.822749994
3,15,21,25.3,740.9,6.607865663
3,20,21,24,656.7,6.487227293
3,22,21,24.4,773.3,6.650667072
3,26,21,26.9,1125,7.025538315
3,29,21,26.9,1130.1,7.030061403
3,33,21,27.4,1105.4,7.007962539
4,1,22,26.5,151.6,5.021245473
4,5,22,25.6,216.6,5.378052335
4,8,22,26.3,202.2,5.309257307
4,12,22,26.7,218.5,5.386786015
4,15,22,25.4,240.9,5.48438191
4,20,22,27.2,275.2,5.617498106
4,22,22,27.6,288,5.66296048
4,26,22,29.1,387.2,5.958941355
4,29,22,29.1,487.4,6.189085141
4,33,22,28.3,488.4,6.191134742
4,1,23,30.1,129.5,4.863680881
4,5,23,28.5,139.2,4.935911748
4,8,23,28.7,157.6,5.060060177
4,12,23,29.5,184.5,5.217649463
4,15,23,28.3,234.5,5.457455588
4,20,23,28.7,289.9,5.669536036
4,22,23,29.8,265.9,5.583120298
4,26,23,31,317.6,5.760792729
4,29,23,30.2,358.7,5.882486385
4,33,23,29.4,516.6,6.247268881
4,1,24,24.1,84.1,4.432006567
4,5,24,27.2,102.8,4.632785353
4,8,24,26.7,125.4,4.831508628
4,12,24,27.3,174.6,5.162497643
4,15,24,26.6,189.8,5.245970886
4,20,24,28.2,249.9,5.521060838
4,22,24,29.1,245.1,5.501666291
4,26,24,29.8,296.5,5.692047218
4,29,24,28.7,315,5.752572639
4,33,24,28.2,386.9,5.958166262
4,1,25,26.8,164.8,5.104732617
4,5,25,27.8,206.7,5.331268467
4,8,25,27.2,222.9,5.40672324
4,12,25,27.8,239.7,5.479388141
4,15,25,26.8,239.8,5.479805243
4,20,25,28,276.8,5.623295224
4,22,25,28.9,277.7,5.626541394
4,26,25,28.9,269.8,5.597680944
4,29,25,28.6,338.7,5.82511476
4,33,25,28.5,379.3,5.938327449
4,1,26,28.6,117,4.762173935
4,5,26,26.4,155.6,5.047288612
4,8,26,25.9,181.3,5.200153118
4,12,26,26.2,140.9,4.948050419
4,15,26,25.8,139.3,4.936629881
4,20,26,26.9,52.9,3.968403339
4,22,26,26.9,27.6,3.317815773
4,26,26,27.9,21,3.044522438
4,29,26,27.8,18.5,2.917770732
4,33,26,27.3,15.8,2.76000994
4,1,27,26.6,198.5,5.2907891
4,5,27,27.5,225.5,5.418320159
4,8,27,27.7,321,5.771441123
4,12,27,28.2,342.2,5.835395361
4,15,27,28.5,362.4,5.892748574
4,20,27,29.2,512.8,6.239885906
4,22,27,30,586.6,6.374343157
4,26,27,30.8,729,6.591673732
4,29,27,30.1,780.5,6.65993474
4,33,27,29.5,838.2,6.731256735
4,1,28,26.7,74.5,4.310799125
4,5,28,26,106.7,4.670021158
4,8,28,26.3,141,4.94875989
4,12,28,27.7,150.7,5.015291106
4,15,28,26.9,210.7,5.350435321
4,20,28,27.7,275.7,5.619313318
4,22,28,28,319.4,5.766444236
4,26,28,28.7,380.9,5.942536873
4,29,28,28.7,305.3,5.7212949
4,33,28,28.3,403.1,5.99918467
